Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
600000	-18.9	-18.9	584	0.45999999999999996	0.00011000000000000002	0.7964421073595683
610000	-18.73	-18.73	590	0.45099999999999996	0.00011000000000000002	0.7982646147410075
620000	-18.64	-18.63	596	0.44199999999999995	0.00011000000000000002	0.8018219192822774
630000	-18.55	-18.55	602	0.43299999999999994	0.00011000000000000002	0.8095681468645731
640000	-18.44	-18.41	607	0.42399999999999993	0.00011000000000000002	0.8014458815256754
650000	-18.33	-18.33	613	0.4149999999999999	0.00011000000000000002	0.7980249007542928
660000	-18.32	-18.32	618	0.4059999999999999	0.00011000000000000002	0.8055944879849751
670000	-18.13	-18.13	624	0.3969999999999999	0.00011000000000000002	0.8087530453999837
680000	-17.98	-17.98	628	0.3879999999999999	0.00011000000000000002	0.8053340792655945
690000	-17.82	-17.82	634	0.379	0.00011000000000000002	0.8098698655764262
700000	-17.68	-17.68	638	0.37	0.00011000000000000002	0.8199035882949829
710000	-17.59	-17.59	643	0.361	0.00011000000000000002	0.8193373481432596
720000	-17.53	-17.53	648	0.352	0.00011000000000000002	0.8189435760180156
730000	-17.41	-17.39	652	0.34299999999999997	0.00011000000000000002	0.8197244683901469
740000	-17.3	-17.3	656	0.33399999999999996	0.00011000000000000002	0.8270416617393493
750000	-17.2	-17.2	661	0.32499999999999996	0.00011000000000000002	0.8256781021753947
760000	-17.14	-17.14	666	0.31599999999999995	0.00011000000000000002	0.8367700616518656
770000	-16.97	-16.97	670	0.30699999999999994	0.00011000000000000002	0.8265192588170369
780000	-16.85	-16.85	674	0.29799999999999993	0.00011000000000000002	0.8233879725138347
790000	-16.73	-16.73	678	0.2889999999999999	0.00011000000000000002	0.825970180829366
800000	-16.62	-16.62	682	0.2799999999999999	0.00011000000000000002	0.826376203695933
810000	-16.53	-16.53	686	0.2709999999999999	0.00011000000000000002	0.8332369168599446
820000	-16.5	-16.49	690	0.262	0.00011000000000000002	0.8506744225819906
830000	-16.39	-16.39	693	0.253	0.00011000000000000002	0.8357988476753235
840000	-16.21	-16.21	697	0.244	0.00011000000000000002	0.8490850528081259
850000	-16.05	-16.05	701	0.235	0.00011000000000000002	0.8442374666531881
860000	-15.97	-15.96	705	0.22599999999999998	0.00011000000000000002	0.8422493656476339
870000	-15.87	-15.87	709	0.21699999999999997	0.00011000000000000002	0.8462939500808716
880000	-15.77	-15.77	713	0.20799999999999996	0.00011000000000000002	0.8569944659868877
890000	-15.71	-15.69	716	0.19899999999999995	0.00011000000000000002	0.8548203070958456
900000	-15.57	-15.53	720	0.18999999999999995	0.00011000000000000002	0.8557696978251139
910000	-15.55	-15.53	723	0.18099999999999994	0.00011000000000000002	0.8458005626996358
920000	-15.49	-15.49	727	0.17199999999999993	0.00011000000000000002	0.8509027083714803
930000	-15.31	-15.31	731	0.16299999999999992	0.00011000000000000002	0.9772900859514873
940000	-15.05	-15.05	734	0.15400000000000003	0.00011000000000000002	0.864641563097636
950000	-14.95	-14.95	737	0.14500000000000002	0.00011000000000000002	0.8577153444290161
960000	-14.83	-14.82	740	0.136	0.00011000000000000002	0.8576555569966634
970000	-14.66	-14.66	744	0.127	0.00011000000000000002	0.8584704041481018
980000	-14.56	-14.56	747	0.118	0.00011000000000000002	0.8672794103622437
990000	-14.4	-14.4	749	0.10899999999999999	0.00011000000000000002	0.8624835093816121
1000000	-14.34	-14.34	752	0.1	0.00011000000000000002	0.8743051648139953
1010000	-14.23	-14.23	755	0.09996250000000001	0.00011000000000000002	0.8642070611317952
1020000	-14.04	-14.04	759	0.099925	0.00011000000000000002	0.8629315257072449
1030000	-13.9	-13.9	761	0.0998875	0.00011000000000000002	0.8622303764025371
1040000	-13.72	-13.72	764	0.09985000000000001	0.00011000000000000002	0.8647887110710144
1050000	-13.51	-13.51	767	0.09981250000000001	0.00011000000000000002	0.8613426208496093
1060000	-13.33	-13.31	770	0.099775	0.00011000000000000002	0.8739482561747233
1070000	-13.12	-13.12	773	0.0997375	0.00011000000000000002	0.8623199780782064
1080000	-13.0	-13.0	776	0.09970000000000001	0.00011000000000000002	0.8589457432428996
1090000	-12.69	-12.69	779	0.0996625	0.00011000000000000002	0.8634283741315206
1100000	-12.6	-12.6	782	0.099625	0.00011000000000000002	0.8617497444152832
1110000	-12.44	-12.44	785	0.09958750000000001	0.00011000000000000002	0.8626483162244161
1120000	-12.19	-12.19	788	0.09955	0.00011000000000000002	0.8735416690508525
1130000	-12.08	-12.08	791	0.0995125	0.00011000000000000002	0.864333430926005
1140000	-12.14	-12.02	794	0.09947500000000001	0.00011000000000000002	0.8595837473869323
1150000	-11.96	-11.96	797	0.09943750000000001	0.00011000000000000002	0.8645095149676005
1160000	-11.84	-11.84	800	0.0994	0.00011000000000000002	0.8599182844161988
1170000	-11.66	-11.66	803	0.0993625	0.00011000000000000002	0.8615525921185812
1180000	-11.39	-11.39	806	0.09932500000000001	0.00011000000000000002	0.8762910008430481
1190000	-11.12	-11.12	809	0.0992875	0.00011000000000000002	0.8657898942629496
1200000	-10.72	-10.72	812	0.09925	0.00011000000000000002	0.8671307921409607
1210000	-10.66	-10.66	816	0.09921250000000001	0.00011000000000000002	0.8652340730031332
1220000	-10.41	-10.41	819	0.099175	0.00011000000000000002	0.8578582962354024
1230000	-10.22	-10.22	822	0.0991375	0.00011000000000000002	0.8633063634236654
1240000	-10.13	-10.13	825	0.09910000000000001	0.00011000000000000002	0.8719739079475403
1250000	-9.94	-9.94	828	0.09906250000000001	0.00011000000000000002	0.8610573490460713
