Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
1130000	-11.33	-11.33	832	0.0995125	9e-05	0.9555418411890666
1140000	-11.16	-11.08	836	0.09947500000000001	9e-05	0.9568134427070618
1150000	-11.02	-11.02	839	0.09943750000000001	9e-05	0.9563494841257731
1160000	-10.67	-10.67	843	0.0994	9e-05	0.9579508304595947
1170000	-10.5	-10.5	846	0.0993625	9e-05	0.9615353226661683
1180000	-10.24	-10.24	849	0.09932500000000001	9e-05	0.955237336953481
1190000	-10.14	-10.13	853	0.0992875	9e-05	0.9548088788986206
1200000	-10.2	-10.13	856	0.09925	9e-05	0.9572365045547485
1210000	-9.96	-9.96	859	0.09921250000000001	9e-05	0.9598296006520589
1220000	-9.77	-9.77	863	0.099175	9e-05	0.9542141954104105
1230000	-9.58	-9.58	866	0.0991375	9e-05	0.9673134883244833
1240000	-9.36	-9.36	870	0.09910000000000001	9e-05	0.95772385597229
1250000	-9.56	-9.36	873	0.09906250000000001	9e-05	0.9606027841567993
1260000	-9.3	-9.3	877	0.099025	9e-05	0.961079212029775
1270000	-9.23	-9.13	881	0.0989875	9e-05	0.9635788083076477
1280000	-9.13	-9.13	884	0.09895000000000001	9e-05	0.9685787121454875
1290000	-9.03	-9.03	887	0.0989125	9e-05	0.959183144569397
1300000	-8.87	-8.87	890	0.098875	9e-05	0.960936176776886
1310000	-8.64	-8.64	893	0.09883750000000001	9e-05	0.9620447834332784
1320000	-8.38	-8.38	896	0.0988	9e-05	0.9628579060236613
1330000	-8.28	-8.28	899	0.0987625	9e-05	0.9677388191223144
1340000	-7.91	-7.91	903	0.09872500000000001	9e-05	0.9632755200068156
1350000	-7.85	-7.85	906	0.09868750000000001	9e-05	0.9623893221219381
1360000	-7.66	-7.65	910	0.09865	9e-05	0.9609429995218913
1370000	-7.51	-7.51	913	0.0986125	9e-05	0.9643901030222575
1380000	-7.37	-7.37	916	0.09857500000000001	9e-05	0.9628514409065246
1390000	-7.43	-7.37	919	0.0985375	9e-05	0.9684993426005045
1400000	-7.4	-7.36	923	0.0985	9e-05	0.9616340756416321
1410000	-7.31	-7.31	926	0.09846250000000001	9e-05	0.9663224260012309
1420000	-7.27	-7.27	928	0.098425	9e-05	0.9638986110687255
1430000	-7.04	-7.04	931	0.0983875	9e-05	0.9639688611030579
1440000	-6.88	-6.88	934	0.09835	9e-05	0.9724154114723206
1450000	-6.72	-6.72	937	0.09831250000000001	9e-05	0.9577368299166361
1460000	-6.63	-6.63	939	0.098275	9e-05	0.9657489736874898
1470000	-6.31	-6.31	942	0.0982375	9e-05	0.9786385973294576
1480000	-6.21	-6.19	945	0.09820000000000001	9e-05	0.9773488243420919
1490000	-5.9	-5.9	948	0.0981625	9e-05	0.9754069089889527
1500000	-5.91	-5.89	951	0.098125	9e-05	0.9842100302378337
1510000	-5.77	-5.77	953	0.09808750000000001	9e-05	0.9776303172111511
1520000	-5.55	-5.55	956	0.09805	9e-05	0.9785861333211263
1530000	-5.58	-5.45	959	0.0980125	9e-05	0.9716432929039002
1540000	-5.36	-5.36	962	0.097975	9e-05	0.9652543505032857
1550000	-5.18	-5.18	965	0.09793750000000001	9e-05	0.9652161161104839
1560000	-5.17	-5.13	968	0.0979	9e-05	0.9603389382362366
1570000	-4.9	-4.9	971	0.0978625	9e-05	0.958674410978953
1580000	-4.79	-4.79	974	0.09782500000000001	9e-05	0.9559159835179647
1590000	-4.65	-4.65	977	0.0977875	9e-05	0.9435867269833883
1600000	-4.48	-4.48	980	0.09775	9e-05	0.9387563228607178
1610000	-4.19	-4.19	982	0.09771250000000001	9e-05	0.9225243171056111
1620000	-4.01	-4.01	985	0.09767500000000001	9e-05	0.9175396243731181
1630000	-3.68	-3.68	988	0.0976375	9e-05	0.907859476407369
1640000	-3.55	-3.55	990	0.0976	9e-05	0.9096593062082926
1650000	-3.51	-3.41	993	0.09756250000000001	9e-05	0.9043175061543782
1660000	-3.43	-3.41	995	0.097525	9e-05	0.9201044122378031
1670000	-3.16	-3.16	998	0.0974875	9e-05	0.901691750685374
1680000	-2.99	-2.99	1001	0.09745000000000001	9e-05	1.098574125766754
1690000	-2.69	-2.69	1004	0.0974125	9e-05	0.9142844438552856
1700000	-2.3	-2.3	1007	0.097375	9e-05	0.9095064798990885
1710000	-2.04	-2.04	1009	0.09733750000000001	9e-05	0.9147965749104817
1720000	-1.8	-1.8	1012	0.09730000000000001	9e-05	0.901079269250234
1730000	-1.42	-1.42	1015	0.0972625	9e-05	0.8915616989135742
1740000	-0.98	-0.98	1018	0.097225	9e-05	0.8866538882255555
1750000	-0.57	-0.57	1021	0.09718750000000001	9e-05	0.8838260173797607
1760000	-0.45	-0.45	1023	0.09715	9e-05	0.8851842443148296
1770000	-0.33	-0.33	1025	0.0971125	9e-05	0.9020528038342793
1780000	-0.1	-0.1	1028	0.09707500000000001	9e-05	0.8916309873263041
1790000	0.06	0.06	1030	0.0970375	9e-05	0.887436052163442
1800000	0.42	0.42	1033	0.097	9e-05	0.8770021001497904
1810000	0.5	0.5	1035	0.09696250000000001	9e-05	0.8846401850382487
1820000	0.63	0.63	1038	0.09692500000000001	9e-05	0.8752827843030294
1830000	0.56	0.63	1041	0.0968875	9e-05	0.8896588842074077
1840000	0.82	0.82	1044	0.09685	9e-05	0.8890968441963196
1850000	0.98	0.98	1046	0.09681250000000001	9e-05	0.8946976105372111
1860000	1.22	1.22	1049	0.096775	9e-05	0.9177430589993795
1870000	1.65	1.65	1052	0.0967375	9e-05	0.9043055057525635
1880000	2.01	2.01	1055	0.09670000000000001	9e-05	0.9365178545316061
1890000	2.3	2.3	1058	0.0966625	9e-05	0.9210571567217509
1900000	2.63	2.63	1061	0.096625	9e-05	0.902671468257904
1910000	3.04	3.04	1064	0.0965875	9e-05	0.9026854316393534
1920000	3.36	3.36	1066	0.09655000000000001	9e-05	0.9351091663042704
1930000	3.58	3.58	1069	0.0965125	9e-05	0.939028537273407
1940000	3.89	3.89	1072	0.096475	9e-05	0.925969934463501
1950000	4.23	4.23	1075	0.09643750000000001	9e-05	0.9054691990216573
1960000	4.39	4.39	1077	0.0964	9e-05	0.9173475543657938
1970000	4.78	4.78	1080	0.0963625	9e-05	0.9124615073204041
1980000	5.01	5.01	1083	0.09632500000000001	9e-05	0.8958818395932515
1990000	5.17	5.17	1086	0.0962875	9e-05	0.9002046942710876
2000000	5.25	5.25	1089	0.09625	9e-05	0.9039668122927348
2010000	5.45	5.45	1092	0.0962125	9e-05	0.882292362054189
2020000	5.72	5.72	1095	0.09617500000000001	9e-05	0.88337109486262
2030000	5.87	5.87	1098	0.0961375	9e-05	0.8880764166514079
2040000	5.92	5.92	1100	0.0961	9e-05	0.881738527615865
2050000	6.08	6.08	1103	0.09606250000000001	9e-05	0.8805444757143657
2060000	6.26	6.26	1106	0.096025	9e-05	0.8972997069358826
2070000	6.41	6.41	1109	0.0959875	9e-05	0.8785481174786886
2080000	6.6	6.6	1112	0.09595000000000001	9e-05	0.8730721751848857
2090000	6.47	6.6	1115	0.09591250000000001	9e-05	0.875175944964091
2100000	6.52	6.6	1117	0.095875	9e-05	0.8666686415672302
2110000	6.67	6.67	1121	0.0958375	9e-05	0.8685531894365947
2120000	7.07	7.07	1124	0.09580000000000001	9e-05	0.8820972522099813
2130000	7.22	7.22	1127	0.0957625	9e-05	0.8660416960716247
2140000	7.41	7.41	1130	0.095725	9e-05	0.8653091073036194
2150000	7.81	7.81	1134	0.09568750000000001	9e-05	0.873905622959137
2160000	8.14	8.14	1137	0.09565	9e-05	0.8717273394266765
